date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,2.5,161.6,510068000,0.4694,0
2020-06-21,2.5,161.7,510068000,0.285,0
2020-06-21,2.5,161.5,510068000,0.4902,0
2020-06-21,2.5,162.7,510068000,2.7736,0
2020-06-21,2.5,162.4,510068000,0.128,0
2020-06-21,2.5,162.5,510068000,0.2213,0
2020-06-21,2.5,162,510068000,0.3861,0
2020-06-21,2.5,161.9,510068000,0.5597,0
2020-06-21,2.5,161.8,510068000,0.5594,0
2020-06-21,2.5,127.3,525600235,23.3486,0
2020-06-21,2.5,-164.5,529440000,1.1894,0
2020-06-21,2.5,158.9,554127120,0.5691,0
2020-06-21,2.5,159,554127120,0.2577,0
2020-06-21,2.5,158.7,554127120,0.0991,0
2020-06-21,2.5,158.8,554127120,0.4724,0
2020-06-21,2.5,-3.2,627179000,1.8177,0
2020-06-21,2.5,-5.4,636083838,0.6274,0
2020-06-21,2.5,-20.8,636083839,0.3136,0
2020-06-21,2.5,-10,663213000,1.8336,0
2020-06-21,2.5,-149.3,735057559,0.3736,0
2020-06-21,2.5,-149.2,735057559,0.3355,0
2020-06-21,2.5,-149.4,735057559,1.3899,0
2020-06-21,2.5,78.2,999000733,6.8611,0
2020-06-21,-2.5,-12.8,263241000,1.62,1.62
2020-06-21,-2.5,-12.7,263241000,1.0172,1.0172
2020-06-21,-2.5,-97.8,263821000,0.3952,0
2020-06-21,-2.5,-97.7,263821000,0.5708,0
2020-06-21,-2.5,-13.7,312864000,1.1327,0
2020-06-21,-2.5,-17.1,312864000,0.7708,0
2020-06-21,-2.5,-13.6,312864000,0.64,0
2020-06-21,-2.5,-13.4,312864000,0.4769,0
2020-06-21,-2.5,-17.2,312864000,0.1391,0
2020-06-21,-2.5,-13.5,312864000,0.6119,0
2020-06-21,-2.5,-16.9,312864000,0.4275,0
2020-06-21,-2.5,-17,312864000,0.5219,0
2020-06-21,-2.5,8.6,332001000,2.9336,0
2020-06-21,-2.5,9.2,412200872,4.2797,0
2020-06-21,-2.5,174.1,412371181,0.2922,0
2020-06-21,-2.5,174,412420918,0.5738,0
2020-06-21,-2.5,81.1,416008600,0.6125,0
2020-06-21,-2.5,65.4,416345000,1.3733,1.3733
2020-06-21,-2.5,77.2,417000563,2.01,2.01
2020-06-21,-2.5,78,417000739,0.1108,0
2020-06-21,-2.5,76.3,417344129,4.6977,0
2020-06-21,-2.5,153.9,440053000,1.6552,0
2020-06-21,-2.5,154,440053000,0.0886,0
2020-06-21,-2.5,-179.2,440647000,3.7586,2.9224
2020-06-21,-2.5,-179.6,440919000,1.8213,1.1627
2020-06-21,-2.5,-28.6,441007000,0.2677,0
2020-06-21,-2.5,66.5,441341000,0.7736,0
2020-06-21,-2.5,133.1,525115007,3.0777,1.1086
2020-06-21,-2.5,-178.9,544125120,0.2866,0
2020-06-21,-2.5,-178.8,544125120,0.5758,0
2020-06-21,-2.5,145.7,548227100,0.5466,0
2020-06-21,-2.5,149,548957000,0.6425,0
2020-06-21,-2.5,149.1,548957000,0.1616,0
